AirportKey,AirportId,AirportCode,City,State,StateName
1,10135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania
2,10136,ABI,"Abilene, TX",TX,Texas
3,10140,ABQ,"Albuquerque, NM",NM,New Mexico
4,10141,ABR,"Aberdeen, SD",SD,South Dakota
5,10146,ABY,"Albany, GA",GA,Georgia
6,10155,ACT,"Waco, TX",TX,Texas
7,10157,ACV,"Arcata/Eureka, CA",CA,California
8,10158,ACY,"Atlantic City, NJ",NJ,New Jersey
9,10165,ADK,"Adak Island, AK",AK,Alaska
10,10170,ADQ,"Kodiak, AK",AK,Alaska
11,10185,AEX,"Alexandria, LA",LA,Louisiana
12,10208,AGS,"Augusta, GA",GA,Georgia
13,10257,ALB,"Albany, NY",NY,New York
14,10275,ALW,"Walla Walla, WA",WA,Washington
15,10279,AMA,"Amarillo, TX",TX,Texas
16,10299,ANC,"Anchorage, AK",AK,Alaska
17,10333,APN,"Alpena, MI",MI,Michigan
18,10372,ASE,"Aspen, CO",CO,Colorado
19,10397,ATL,"Atlanta, GA",GA,Georgia
20,10408,ATW,"Appleton, WI",WI,Wisconsin
21,10423,AUS,"Austin, TX",TX,Texas
22,10431,AVL,"Asheville, NC",NC,North Carolina
23,10434,AVP,"Scranton/Wilkes-Barre, PA",PA,Pennsylvania
24,10466,AZA,"Phoenix, AZ",AZ,Arizona
25,10469,AZO,"Kalamazoo, MI",MI,Michigan
26,10529,BDL,"Hartford, CT",CT,Connecticut
27,10551,BET,"Bethel, AK",AK,Alaska
28,10558,BFF,"Scottsbluff, NE",NE,Nebraska
29,10561,BFL,"Bakersfield, CA",CA,California
30,10577,BGM,"Binghamton, NY",NY,New York
31,10581,BGR,"Bangor, ME",ME,Maine
32,10599,BHM,"Birmingham, AL",AL,Alabama
33,10617,BIH,"Bishop, CA",CA,California
34,10620,BIL,"Billings, MT",MT,Montana
35,10627,BIS,"Bismarck/Mandan, ND",ND,North Dakota
36,10631,BJI,"Bemidji, MN",MN,Minnesota
37,10666,BLI,"Bellingham, WA",WA,Washington
38,10676,BLV,"Belleville, IL",IL,Illinois
39,10685,BMI,"Bloomington/Normal, IL",IL,Illinois
40,10693,BNA,"Nashville, TN",TN,Tennessee
41,10713,BOI,"Boise, ID",ID,Idaho
42,10721,BOS,"Boston, MA",MA,Massachusetts
43,10728,BPT,"Beaumont/Port Arthur, TX",TX,Texas
44,10731,BQK,"Brunswick, GA",GA,Georgia
45,10732,BQN,"Aguadilla, PR",PR,Puerto Rico
46,10739,BRD,"Brainerd, MN",MN,Minnesota
47,10747,BRO,"Brownsville, TX",TX,Texas
48,10754,BRW,"Barrow, AK",AK,Alaska
49,10779,BTM,"Butte, MT",MT,Montana
50,10781,BTR,"Baton Rouge, LA",LA,Louisiana
51,10785,BTV,"Burlington, VT",VT,Vermont
52,10792,BUF,"Buffalo, NY",NY,New York
53,10800,BUR,"Burbank, CA",CA,California
54,10821,BWI,"Baltimore, MD",MD,Maryland
55,10849,BZN,"Bozeman, MT",MT,Montana
56,10868,CAE,"Columbia, SC",SC,South Carolina
57,10874,CAK,"Akron, OH",OH,Ohio
58,10918,CDC,"Cedar City, UT",UT,Utah
59,10926,CDV,"Cordova, AK",AK,Alaska
60,10980,CHA,"Chattanooga, TN",TN,Tennessee
61,10990,CHO,"Charlottesville, VA",VA,Virginia
62,10994,CHS,"Charleston, SC",SC,South Carolina
63,11003,CID,"Cedar Rapids/Iowa City, IA",IA,Iowa
64,11013,CIU,"Sault Ste. Marie, MI",MI,Michigan
65,11027,CKB,"Clarksburg/Fairmont, WV",WV,West Virginia
66,11042,CLE,"Cleveland, OH",OH,Ohio
67,11049,CLL,"College Station/Bryan, TX",TX,Texas
68,11057,CLT,"Charlotte, NC",NC,North Carolina
69,11066,CMH,"Columbus, OH",OH,Ohio
70,11067,CMI,"Champaign/Urbana, IL",IL,Illinois
71,11076,CMX,"Hancock/Houghton, MI",MI,Michigan
72,11092,CNY,"Moab, UT",UT,Utah
73,11109,COS,"Colorado Springs, CO",CO,Colorado
74,11111,COU,"Columbia, MO",MO,Missouri
75,11122,CPR,"Casper, WY",WY,Wyoming
76,11140,CRP,"Corpus Christi, TX",TX,Texas
77,11146,CRW,"Charleston/Dunbar, WV",WV,West Virginia
78,11150,CSG,"Columbus, GA",GA,Georgia
79,11193,CVG,"Cincinnati, OH",KY,Kentucky
80,11203,CWA,"Mosinee, WI",WI,Wisconsin
81,11233,CYS,"Cheyenne, WY",WY,Wyoming
82,11252,DAB,"Daytona Beach, FL",FL,Florida
83,11259,DAL,"Dallas, TX",TX,Texas
84,11267,DAY,"Dayton, OH",OH,Ohio
85,11278,DCA,"Washington, DC",VA,Virginia
86,11283,DDC,"Dodge City, KS",KS,Kansas
87,11288,DEC,"Decatur, IL",IL,Illinois
88,11292,DEN,"Denver, CO",CO,Colorado
89,11298,DFW,"Dallas/Fort Worth, TX",TX,Texas
90,11308,DHN,"Dothan, AL",AL,Alabama
91,11315,DIK,"Dickinson, ND",ND,North Dakota
92,11337,DLH,"Duluth, MN",MN,Minnesota
93,11413,DRO,"Durango, CO",CO,Colorado
94,11423,DSM,"Des Moines, IA",IA,Iowa
95,11433,DTW,"Detroit, MI",MI,Michigan
96,11447,DVL,"Devils Lake, ND",ND,North Dakota
97,11481,ECP,"Panama City, FL",FL,Florida
98,11503,EGE,"Eagle, CO",CO,Colorado
99,11525,EKO,"Elko, NV",NV,Nevada
100,11537,ELM,"Elmira/Corning, NY",NY,New York
101,11540,ELP,"El Paso, TX",TX,Texas
102,11587,ESC,"Escanaba, MI",MI,Michigan
103,11603,EUG,"Eugene, OR",OR,Oregon
104,11612,EVV,"Evansville, IN",IN,Indiana
105,11618,EWR,"Newark, NJ",NJ,New Jersey
106,11624,EYW,"Key West, FL",FL,Florida
107,11630,FAI,"Fairbanks, AK",AK,Alaska
108,11637,FAR,"Fargo, ND",ND,North Dakota
109,11638,FAT,"Fresno, CA",CA,California
110,11641,FAY,"Fayetteville, NC",NC,North Carolina
111,11648,FCA,"Kalispell, MT",MT,Montana
112,11695,FLG,"Flagstaff, AZ",AZ,Arizona
113,11697,FLL,"Fort Lauderdale, FL",FL,Florida
114,11721,FNT,"Flint, MI",MI,Michigan
115,11725,FOD,"Fort Dodge, IA",IA,Iowa
116,11775,FSD,"Sioux Falls, SD",SD,South Dakota
117,11778,FSM,"Fort Smith, AR",AR,Arkansas
118,11823,FWA,"Fort Wayne, IN",IN,Indiana
119,11865,GCC,"Gillette, WY",WY,Wyoming
120,11867,GCK,"Garden City, KS",KS,Kansas
121,11884,GEG,"Spokane, WA",WA,Washington
122,11898,GFK,"Grand Forks, ND",ND,North Dakota
123,11905,GGG,"Longview, TX",TX,Texas
124,11921,GJT,"Grand Junction, CO",CO,Colorado
125,11953,GNV,"Gainesville, FL",FL,Florida
126,11973,GPT,"Gulfport/Biloxi, MS",MS,Mississippi
127,11977,GRB,"Green Bay, WI",WI,Wisconsin
128,11980,GRI,"Grand Island, NE",NE,Nebraska
129,11982,GRK,"Killeen, TX",TX,Texas
130,11986,GRR,"Grand Rapids, MI",MI,Michigan
131,11995,GSO,"Greensboro/High Point, NC",NC,North Carolina
132,11996,GSP,"Greer, SC",SC,South Carolina
133,12003,GTF,"Great Falls, MT",MT,Montana
134,12007,GTR,"Columbus, MS",MS,Mississippi
135,12012,GUC,"Gunnison, CO",CO,Colorado
136,12016,GUM,"Guam, TT",TT,U.S. Pacific Trust Territories and Possessions
137,12094,HDN,"Hayden, CO",CO,Colorado
138,12119,HGR,"Hagerstown, MD",MD,Maryland
139,12124,HHH,"Hilton Head, SC",SC,South Carolina
140,12129,HIB,"Hibbing, MN",MN,Minnesota
141,12156,HLN,"Helena, MT",MT,Montana
142,12173,HNL,"Honolulu, HI",HI,Hawaii
143,12191,HOU,"Houston, TX",TX,Texas
144,12197,HPN,"White Plains, NY",NY,New York
145,12206,HRL,"Harlingen/San Benito, TX",TX,Texas
146,12217,HSV,"Huntsville, AL",AL,Alabama
147,12223,HTS,"Ashland, WV",WV,West Virginia
148,12255,HYS,"Hays, KS",KS,Kansas
149,12264,IAD,"Washington, DC",VA,Virginia
150,12265,IAG,"Niagara Falls, NY",NY,New York
151,12266,IAH,"Houston, TX",TX,Texas
152,12278,ICT,"Wichita, KS",KS,Kansas
153,12280,IDA,"Idaho Falls, ID",ID,Idaho
154,12323,ILM,"Wilmington, NC",NC,North Carolina
155,12335,IMT,"Iron Mountain/Kingsfd, MI",MI,Michigan
156,12339,IND,"Indianapolis, IN",IN,Indiana
157,12343,INL,"International Falls, MN",MN,Minnesota
158,12391,ISP,"Islip, NY",NY,New York
159,12397,ITH,"Ithaca/Cortland, NY",NY,New York
160,12402,ITO,"Hilo, HI",HI,Hawaii
161,12441,JAC,"Jackson, WY",WY,Wyoming
162,12448,JAN,"Jackson/Vicksburg, MS",MS,Mississippi
163,12451,JAX,"Jacksonville, FL",FL,Florida
164,12478,JFK,"New York, NY",NY,New York
165,12511,JLN,"Joplin, MO",MO,Missouri
166,12519,JMS,"Jamestown, ND",ND,North Dakota
167,12523,JNU,"Juneau, AK",AK,Alaska
168,12559,JST,"Johnstown, PA",PA,Pennsylvania
169,12758,KOA,"Kona, HI",HI,Hawaii
170,12819,KTN,"Ketchikan, AK",AK,Alaska
171,12884,LAN,"Lansing, MI",MI,Michigan
172,12888,LAR,"Laramie, WY",WY,Wyoming
173,12889,LAS,"Las Vegas, NV",NV,Nevada
174,12891,LAW,"Lawton/Fort Sill, OK",OK,Oklahoma
175,12892,LAX,"Los Angeles, CA",CA,California
176,12896,LBB,"Lubbock, TX",TX,Texas
177,12898,LBE,"Latrobe, PA",PA,Pennsylvania
178,12899,LBF,"North Platte, NE",NE,Nebraska
179,12902,LBL,"Liberal, KS",KS,Kansas
180,12915,LCH,"Lake Charles, LA",LA,Louisiana
181,12917,LCK,"Columbus, OH",OH,Ohio
182,12945,LEX,"Lexington, KY",KY,Kentucky
183,12951,LFT,"Lafayette, LA",LA,Louisiana
184,12953,LGA,"New York, NY",NY,New York
185,12954,LGB,"Long Beach, CA",CA,California
186,12982,LIH,"Lihue, HI",HI,Hawaii
187,12992,LIT,"Little Rock, AR",AR,Arkansas
188,13029,LNK,"Lincoln, NE",NE,Nebraska
189,13061,LRD,"Laredo, TX",TX,Texas
190,13076,LSE,"La Crosse, WI",WI,Wisconsin
191,13127,LWS,"Lewiston, ID",ID,Idaho
192,13158,MAF,"Midland/Odessa, TX",TX,Texas
193,13184,MBS,"Saginaw/Bay City/Midland, MI",MI,Michigan
194,13198,MCI,"Kansas City, MO",MO,Missouri
195,13204,MCO,"Orlando, FL",FL,Florida
196,13211,MCW,"Mason City, IA",IA,Iowa
197,13230,MDT,"Harrisburg, PA",PA,Pennsylvania
198,13232,MDW,"Chicago, IL",IL,Illinois
199,13241,MEI,"Meridian, MS",MS,Mississippi
200,13244,MEM,"Memphis, TN",TN,Tennessee
201,13256,MFE,"Mission/McAllen/Edinburg, TX",TX,Texas
202,13264,MFR,"Medford, OR",OR,Oregon
203,13277,MGM,"Montgomery, AL",AL,Alabama
204,13290,MHK,"Manhattan/Ft. Riley, KS",KS,Kansas
