Date,DateKey,Year,Month,Day,DayOfWeek,DayName,WeekOfYear,MonthName,IsWeekend
2024-01-01,20240101,2024,1,1,1,Monday,1,January,0
2024-01-02,20240102,2024,1,2,2,Tuesday,1,January,0
2024-01-03,20240103,2024,1,3,3,Wednesday,1,January,0
2024-01-04,20240104,2024,1,4,4,Thursday,1,January,0
2024-01-05,20240105,2024,1,5,5,Friday,1,January,0
2024-01-06,20240106,2024,1,6,6,Saturday,1,January,1
2024-01-07,20240107,2024,1,7,7,Sunday,1,January,1
2024-01-08,20240108,2024,1,8,1,Monday,2,January,0
2024-01-09,20240109,2024,1,9,2,Tuesday,2,January,0
2024-01-10,20240110,2024,1,10,3,Wednesday,2,January,0
2024-01-11,20240111,2024,1,11,4,Thursday,2,January,0
2024-01-12,20240112,2024,1,12,5,Friday,2,January,0
2024-01-13,20240113,2024,1,13,6,Saturday,2,January,1
2024-01-14,20240114,2024,1,14,7,Sunday,2,January,1
2024-01-15,20240115,2024,1,15,1,Monday,3,January,0
2024-01-16,20240116,2024,1,16,2,Tuesday,3,January,0
2024-01-17,20240117,2024,1,17,3,Wednesday,3,January,0
2024-01-18,20240118,2024,1,18,4,Thursday,3,January,0
2024-01-19,20240119,2024,1,19,5,Friday,3,January,0
2024-01-20,20240120,2024,1,20,6,Saturday,3,January,1
2024-01-21,20240121,2024,1,21,7,Sunday,3,January,1
2024-01-22,20240122,2024,1,22,1,Monday,4,January,0
2024-01-23,20240123,2024,1,23,2,Tuesday,4,January,0
2024-01-24,20240124,2024,1,24,3,Wednesday,4,January,0
2024-01-25,20240125,2024,1,25,4,Thursday,4,January,0
2024-01-26,20240126,2024,1,26,5,Friday,4,January,0
2024-01-27,20240127,2024,1,27,6,Saturday,4,January,1
2024-01-28,20240128,2024,1,28,7,Sunday,4,January,1
2024-01-29,20240129,2024,1,29,1,Monday,5,January,0
2024-01-30,20240130,2024,1,30,2,Tuesday,5,January,0
2024-01-31,20240131,2024,1,31,3,Wednesday,5,January,0
