RouteKey,Route,Origin,Dest,FlightCountSample
1,ABE-ATL,ABE,ATL,15
2,ABE-BNA,ABE,BNA,2
3,ABE-CLT,ABE,CLT,18
4,ABE-DEN,ABE,DEN,1
5,ABE-MLB,ABE,MLB,1
6,ABE-MYR,ABE,MYR,2
7,ABE-ORD,ABE,ORD,7
8,ABE-PGD,ABE,PGD,4
9,ABE-PIE,ABE,PIE,1
10,ABE-SFB,ABE,SFB,5
11,ABI-DFW,ABI,DFW,26
12,ABQ-ATL,ABQ,ATL,15
13,ABQ-AUS,ABQ,AUS,11
14,ABQ-BUR,ABQ,BUR,4
15,ABQ-BWI,ABQ,BWI,2
16,ABQ-DAL,ABQ,DAL,24
17,ABQ-DEN,ABQ,DEN,44
18,ABQ-DFW,ABQ,DFW,30
19,ABQ-HOU,ABQ,HOU,7
20,ABQ-IAH,ABQ,IAH,11
21,ABQ-LAS,ABQ,LAS,33
22,ABQ-LAX,ABQ,LAX,34
23,ABQ-LGB,ABQ,LGB,5
24,ABQ-MCI,ABQ,MCI,5
25,ABQ-MCO,ABQ,MCO,1
26,ABQ-MDW,ABQ,MDW,4
27,ABQ-OAK,ABQ,OAK,7
28,ABQ-ORD,ABQ,ORD,9
29,ABQ-PHX,ABQ,PHX,41
30,ABQ-SAN,ABQ,SAN,8
31,ABQ-SEA,ABQ,SEA,5
32,ABQ-SFO,ABQ,SFO,9
33,ABQ-SLC,ABQ,SLC,17
34,ABR-MSP,ABR,MSP,11
35,ABY-ATL,ABY,ATL,15
36,ACT-DFW,ACT,DFW,16
37,ACV-DEN,ACV,DEN,4
38,ACV-LAX,ACV,LAX,6
39,ACV-SFO,ACV,SFO,22
40,ACY-FLL,ACY,FLL,6
41,ACY-MCO,ACY,MCO,10
42,ACY-PBI,ACY,PBI,3
43,ACY-RSW,ACY,RSW,5
44,ACY-TPA,ACY,TPA,8
45,ADK-ANC,ADK,ANC,2
46,ADQ-ANC,ADQ,ANC,8
47,AEX-ATL,AEX,ATL,10
48,AEX-DFW,AEX,DFW,18
49,AGS-ATL,AGS,ATL,34
50,AGS-CLT,AGS,CLT,3
51,AGS-DCA,AGS,DCA,3
52,AGS-DFW,AGS,DFW,7
53,ALB-ATL,ALB,ATL,13
54,ALB-BNA,ALB,BNA,1
55,ALB-BWI,ALB,BWI,27
56,ALB-CLT,ALB,CLT,23
57,ALB-DCA,ALB,DCA,17
58,ALB-DFW,ALB,DFW,7
59,ALB-DTW,ALB,DTW,17
60,ALB-FLL,ALB,FLL,1
61,ALB-LGA,ALB,LGA,17
62,ALB-MCO,ALB,MCO,18
63,ALB-MDW,ALB,MDW,10
64,ALB-MIA,ALB,MIA,2
65,ALB-ORD,ALB,ORD,15
66,ALB-PGD,ALB,PGD,3
67,ALB-PIE,ALB,PIE,3
68,ALB-SFB,ALB,SFB,1
69,ALB-TPA,ALB,TPA,3
70,ALW-SEA,ALW,SEA,18
71,AMA-AUS,AMA,AUS,5
72,AMA-DAL,AMA,DAL,26
73,AMA-DEN,AMA,DEN,5
74,AMA-DFW,AMA,DFW,31
75,AMA-HOU,AMA,HOU,1
76,AMA-LAS,AMA,LAS,9
77,ANC-ADQ,ANC,ADQ,7
78,ANC-BET,ANC,BET,8
79,ANC-BRW,ANC,BRW,5
80,ANC-CDV,ANC,CDV,10
81,ANC-DEN,ANC,DEN,3
82,ANC-DFW,ANC,DFW,1
83,ANC-FAI,ANC,FAI,5
84,ANC-HNL,ANC,HNL,7
85,ANC-JNU,ANC,JNU,22
86,ANC-KOA,ANC,KOA,5
87,ANC-LAX,ANC,LAX,7
88,ANC-MSP,ANC,MSP,4
89,ANC-OME,ANC,OME,9
90,ANC-ORD,ANC,ORD,1
91,ANC-PDX,ANC,PDX,4
92,ANC-PHX,ANC,PHX,4
